start_date,end_date,window_type,average_confidence,key_driver_summary
2026-05-31,2026-06-04,Neutral / Transition Window,0.29461284718071545,"Mixed directional signals with astro score (1.65), momentum (1.30), and ML probability (0.53) clustering near neutral."
2026-06-05,2026-07-04,Bullish Window,0.4010953918067848,"Positive astro score (1.24), supportive momentum (0.84), and mean ML probability (0.61) above the bullish threshold."
2026-07-05,2026-07-14,Neutral / Transition Window,0.2700484756640657,"Mixed directional signals with astro score (0.62), momentum (1.07), and ML probability (0.46) clustering near neutral."
2026-07-15,2026-07-31,Bearish / Risk Window,0.3805683042911001,"Negative or fragile directional balance with mean astro score (0.05), ML probability (0.34) near/below bearish territory, and volatility score (0.46)."
2026-08-01,2026-08-19,Neutral / Transition Window,0.2771938732793728,"Mixed directional signals with astro score (0.32), momentum (0.11), and ML probability (0.54) clustering near neutral."
2026-08-20,2026-09-27,Bullish Window,0.4011838973974055,"Positive astro score (0.03), supportive momentum (0.37), and mean ML probability (0.60) above the bullish threshold."
2026-09-28,2026-10-02,Neutral / Transition Window,0.3760236188139446,"Mixed directional signals with astro score (0.42), momentum (1.02), and ML probability (0.57) clustering near neutral."
2026-10-03,2026-10-12,Bullish Window,0.39422805958972995,"Positive astro score (0.52), supportive momentum (0.87), and mean ML probability (0.58) above the bullish threshold."
2026-10-13,2026-11-14,Neutral / Transition Window,0.31296605434233016,"Mixed directional signals with astro score (2.02), momentum (1.55), and ML probability (0.50) clustering near neutral."
2026-11-15,2026-11-22,Bearish / Risk Window,0.39959697530954164,"Negative or fragile directional balance with mean astro score (0.28), ML probability (0.42) near/below bearish territory, and volatility score (1.77)."
2026-11-23,2026-12-12,Neutral / Transition Window,0.33749211780777105,"Mixed directional signals with astro score (1.13), momentum (0.74), and ML probability (0.50) clustering near neutral."
2026-12-13,2026-12-13,Bullish Window,0.384772656178461,"Positive astro score (1.53), supportive momentum (0.99), and mean ML probability (0.57) above the bullish threshold."
2026-12-14,2026-12-14,Neutral / Transition Window,0.3822541682318452,"Mixed directional signals with astro score (1.56), momentum (1.00), and ML probability (0.57) clustering near neutral."
2026-12-15,2026-12-15,Bullish Window,0.3823819845606367,"Positive astro score (1.58), supportive momentum (1.01), and mean ML probability (0.57) above the bullish threshold."
2026-12-16,2026-12-21,Neutral / Transition Window,0.38086777346999484,"Mixed directional signals with astro score (1.66), momentum (1.06), and ML probability (0.57) clustering near neutral."
2026-12-22,2026-12-22,Bullish Window,0.3860302291766703,"Positive astro score (1.58), supportive momentum (1.10), and mean ML probability (0.57) above the bullish threshold."
2026-12-23,2026-12-27,Neutral / Transition Window,0.37992003593734625,"Mixed directional signals with astro score (1.66), momentum (1.13), and ML probability (0.57) clustering near neutral."
2026-12-28,2027-01-03,Bullish Window,0.3901485515131685,"Positive astro score (2.10), supportive momentum (1.33), and mean ML probability (0.58) above the bullish threshold."
2027-01-04,2027-01-18,Neutral / Transition Window,0.327168357744309,"Mixed directional signals with astro score (4.01), momentum (2.25), and ML probability (0.50) clustering near neutral."
2027-01-19,2027-02-06,Bullish Window,0.327107577482826,"Positive astro score (7.14), supportive momentum (4.16), and mean ML probability (0.61) above the bullish threshold."
2027-02-07,2027-02-12,Neutral / Transition Window,0.28313895607362194,"Mixed directional signals with astro score (4.59), momentum (3.02), and ML probability (0.46) clustering near neutral."
2027-02-13,2027-02-13,Bearish / Risk Window,0.3462933744757606,"Negative or fragile directional balance with mean astro score (3.85), ML probability (0.43) near/below bearish territory, and volatility score (1.26)."
2027-02-14,2027-02-14,Neutral / Transition Window,0.34396023217286315,"Mixed directional signals with astro score (3.66), momentum (2.33), and ML probability (0.43) clustering near neutral."
2027-02-15,2027-02-15,Bearish / Risk Window,0.35069116875011175,"Negative or fragile directional balance with mean astro score (3.48), ML probability (0.43) near/below bearish territory, and volatility score (1.27)."
2027-02-16,2027-03-27,Neutral / Transition Window,0.30114921470357203,"Mixed directional signals with astro score (1.45), momentum (1.39), and ML probability (0.47) clustering near neutral."
2027-03-28,2027-04-02,Bullish Window,0.3770945394936131,"Positive astro score (-0.03), supportive momentum (0.22), and mean ML probability (0.59) above the bullish threshold."
2027-04-03,2027-05-30,Neutral / Transition Window,0.3332418752798318,"Mixed directional signals with astro score (0.73), momentum (0.88), and ML probability (0.51) clustering near neutral."
